Artist Name,NSFW Level,Top NSFW Tag 1,Top NSFW Tag 2,Top NSFW Tag 3,Image URL,futanari,tentacle penetration,feminization,chastity,mind control,machine sex,bimbofication,bondage,pegging,sissification,hypnosis,anal,inflation,oversized toy,oral sex,dominant female,machine,artist_count
1jumangoku,Extreme,mind control,chastity,hypnosis,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/1jumangoku.jpg,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,
2dswirl,Hentai,feminization,anal,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/2dswirl.jpg,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
40010prototype,Extreme,chastity,pegging,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/40010prototype.jpg,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,
akairiot,Hentai,machine sex,anal,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/akairiot.jpg,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,
alchera,Extreme,dominant female,chastity,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/alchera.jpg,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,
aneco (westsea1227),Hentai,futanari,anal,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aneco%20%28westsea1227%29.jpg,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,
aro (charged time out),Extreme,chastity,inflation,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aro%20%28charged%20time%20out%29.jpg,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
atsumisu,Hentai,chastity,bimbofication,mind control,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/atsumisu.jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
azuumori,Hentai,oversized toy,feminization,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/azuumori.jpg,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,
banishment,Hentai,chastity,pegging,dominant female,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/banishment.jpg,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,
buta (uhoiiotoko),Extreme,anal,machine sex,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/buta%20%28uhoiiotoko%29.jpg,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,
caryo,Hentai,bondage,chastity,anal,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/caryo.jpg,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,
chanmura,Hentai,chastity,feminization,oversized toy,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/chanmura.jpg,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,
creayus,Ecchi,bimbofication,chastity,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/creayus.jpg,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
edpan,Hentai,bimbofication,inflation,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/edpan.jpg,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
endou okito,Extreme,hypnosis,chastity,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/endou%20okito.jpg,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,
eruichi (redphantom),Extreme,futanari,chastity,tentacle penetration,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/eruichi%20%28redphantom%29.jpg,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
gashi-gashi,Hentai,chastity,pegging,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/gashi-gashi.jpg,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
hirokiku,Hentai,pegging,chastity,inflation,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/hirokiku.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,
huangdanlan,Hentai,anal,machine sex,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/huangdanlan.jpg,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,
jizeru (giselebon),Ecchi,dominant female,pegging,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/jizeru%20%28giselebon%29.jpg,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
kaguura (kagu),Ecchi,feminization,chastity,oversized toy,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/kaguura%20%28kagu%29.jpg,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,
kim eb,Ecchi,chastity,tentacle penetration,dominant female,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/kim%20eb.jpg,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,
kinkymation,Ecchi,mind control,pegging,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/kinkymation.jpg,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,
k-suwabe,Extreme,inflation,chastity,machine sex,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/k-suwabe.jpg,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,
mirino,Extreme,chastity,pegging,inflation,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/mirino.jpg,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,
munakata (sekimizu kazuki),Hentai,chastity,bimbofication,machine sex,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/munakata%20%28sekimizu%20kazuki%29.jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
nagiko (mangalove1111),Hentai,chastity,feminization,mind control,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/nagiko%20%28mangalove1111%29.jpg,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,
nayt layt,Extreme,machine sex,chastity,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/nayt%20layt.jpg,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,
nephlite,Hentai,oversized toy,chastity,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/nephlite.jpg,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
nicky w,Ecchi,chastity,feminization,futanari,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/nicky%20w.jpg,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,
nin nakajima,Ecchi,bondage,oral sex,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/nin%20nakajima.jpg,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
nishiii26miii,Extreme,tentacle penetration,oversized toy,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/nishiii26miii.jpg,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,
norizc,Hentai,chastity,dominant female,oversized toy,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/norizc.jpg,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
omone hokoma agm,Extreme,chastity,inflation,futanari,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/omone%20hokoma%20agm.jpg,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
oopartz yang,Hentai,oral sex,oversized toy,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/oopartz%20yang.jpg,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,
oshiri seijin,Hentai,bimbofication,chastity,hypnosis,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/oshiri%20seijin.jpg,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
piaki,Ecchi,tentacle penetration,chastity,inflation,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/piaki.jpg,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
piyokichi,Hentai,hypnosis,inflation,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/piyokichi.jpg,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,
pochi (pochi-goya),Ecchi,chastity,pegging,machine sex,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/pochi%20%28pochi-goya%29.jpg,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
r123,Hentai,chastity,hypnosis,anal,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/r123.jpg,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,
roki (hirokix),Hentai,bimbofication,pegging,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/roki%20%28hirokix%29.jpg,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
ryuuzaki ichi,Ecchi,chastity,anal,mind control,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/ryuuzaki%20ichi.jpg,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
scottie (phantom2),Hentai,chastity,futanari,anal,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/scottie%20%28phantom2%29.jpg,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
senmu (senmudayo),Ecchi,sissification,chastity,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/senmu%20%28senmudayo%29.jpg,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,
shiratama (shiratamaco),Ecchi,chastity,tentacle penetration,anal,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/shiratama%20%28shiratamaco%29.jpg,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
skade,Hentai,chastity,anal,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/skade.jpg,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
soejima shigenori,Hentai,bimbofication,chastity,oversized toy,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/soejima%20shigenori.jpg,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
sui (petit comet),Hentai,bondage,chastity,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/sui%20%28petit%20comet%29.jpg,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
svveetberry,Ecchi,mind control,chastity,oversized toy,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/svveetberry.jpg,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,
wokada,Ecchi,dominant female,anal,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/wokada.jpg,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,
xuuikie ashe,Hentai,chastity,futanari,pegging,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/xuuikie%20ashe.jpg,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,
yasukuni kazumasa,Ecchi,chastity,oversized toy,machine sex,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/yasukuni%20kazumasa.jpg,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,
yoshiron,Hentai,chastity,dominant female,sissification,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/yoshiron.jpg,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,
yoshizane akihiro,Hentai,pegging,chastity,tentacle penetration,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/yoshizane%20akihiro.jpg,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,
yt (wai-tei),Hentai,anal,chastity,futanari,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/yt%20%28wai-tei%29.jpg,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,
yukari (rihenara doll),Hentai,bondage,mind control,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/yukari%20%28rihenara%20doll%29.jpg,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,
zoruboi,Ecchi,chastity,tentacle penetration,mind control,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/zoruboi.jpg,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
zounose,Hentai,tentacle penetration,chastity,oral sex,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/zounose.jpg,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,
1nilla',Ecchi,chastity,machine sex,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/1nilla%27.jpg,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,
258n,Hentai,chastity,bondage,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/258n.jpg,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,
2c=galore,Extreme,oversized toy,anal,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/2c%3Dgalore.jpg,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,
2gong (9ujin ),Hentai,inflation,sissification,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/2gong%20%289ujin%20%29.jpg,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,
2l (2lsize),Hentai,sissification,chastity,tentacle penetration,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/2l%20%282lsize%29.jpg,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
3.14,Extreme,chastity,tentacle penetration,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/3.14.jpg,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,
34no404,Extreme,feminization,chastity,sissification,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/34no404.jpg,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,
3four,Ecchi,oversized toy,hypnosis,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/3four.jpg,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,
3u,Hentai,pegging,machine sex,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/3u.jpg,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,
4690 (tkpbsk),Hentai,chastity,oversized toy,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/4690%20%28tkpbsk%29.jpg,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
4qw5,Ecchi,sissification,chastity,oral sex,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/4qw5.jpg,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,
54hao,Ecchi,chastity,pegging,hypnosis,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/54hao.jpg,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,
5saiji,Hentai,pegging,machine sex,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/5saiji.jpg,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,
5t (5t 000),Hentai,chastity,mind control,tentacle penetration,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/5t%20%285t%20000%29.jpg,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,
60mai,Hentai,mind control,chastity,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/60mai.jpg,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
6 (yuchae),Hentai,chastity,pegging,oversized toy,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/6%20%28yuchae%29.jpg,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,
7 calpis 7,Hentai,oral sex,futanari,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/7%20calpis%207.jpg,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,
770mk,Hentai,mind control,inflation,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/770mk.jpg,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
7aka ne11,Hentai,mind control,chastity,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/7aka%20ne11.jpg,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,
